categoria,dificultad,pregunta,correcta,incorrecta
arte,medio,"Los colores del circo suelen ser contrastantes para llamar la atención.",verdadero,"falso"
arte,medio,"La música en el circo puede influir en la percepción del riesgo.",verdadero,"falso"
arte,dificil,"El diseño de iluminación en un circo puede incluir cálculos de óptica escénica.",verdadero,"falso"
arte,dificil,"El simbolismo del maquillaje de payaso tiene raíces antropológicas.",verdadero,"falso"
arte,dificil,"Las formas geométricas del escenario circense están inspiradas en el brutalismo.",falso,"verdadero"
arte,dificil,"El vestuario de un espectáculo puede influir en la percepción del tiempo escénico.",verdadero,"falso"
arte,dificil,"La escultura 'El pensador' de Rodin originalmente formaba parte de 'Las puertas del infierno'.",verdadero,falso
arte,dificil,"John Cage compuso '4'33"' que consiste en silencio.",verdadero,falso
arte,dificil,"El ready-made 'Fuente' de Duchamp era originalmente un urinario.",verdadero,falso
arte,dificil,"La Ópera de Sídney fue diseñada por Jørn Utzon.",verdadero,falso
arte,dificil,"La película 'El acorazado Potemkin' es conocida por su escena de la escalinata de Odesa.",verdadero,falso
entretenimiento,facil,"Harry Houdini era famoso por sus escapes.",verdadero,falso
entretenimiento,facil,"Netflix comenzó como un servicio de alquiler de DVD por correo.",verdadero,falso
entretenimiento,facil,"La película 'Titanic' ganó 11 premios Oscar.",verdadero,falso
entretenimiento,facil,"Mickey Mouse fue creado por Walt Disney.",verdadero,falso
entretenimiento,facil,"Los videojuegos son considerados una forma de arte en algunos países.",verdadero,falso
entretenimiento,facil,"Los payasos son personajes clásicos del circo.",verdadero,"falso"
entretenimiento,facil,"El circo combina diferentes tipos de espectáculos.",verdadero,"falso"
entretenimiento,facil,"Un domador de leones es parte común del elenco circense.",verdadero,"falso"
entretenimiento,facil,"Los circos modernos no utilizan carpas.",falso,"verdadero"
entretenimiento,medio,"El circo tradicional combina actos con animales y artistas humanos.",verdadero,"falso"
entretenimiento,medio,"El juego 'The Legend of Zelda' fue creado por Shigeru Miyamoto.",verdadero,falso
entretenimiento,medio,"La serie 'Stranger Things' está ambientada en los años 80.",verdadero,falso
entretenimiento,medio,"El Festival de Cannes se celebra anualmente en Francia.",verdadero,falso
entretenimiento,medio,"Broadway está ubicado en Nueva York.",verdadero,falso
entretenimiento,medio,"La primera película sonora fue 'El cantante de jazz' (1927).",verdadero,falso
entretenimiento,medio,"El Cirque du Soleil es famoso por evitar el uso de animales.",verdadero,"falso"
entretenimiento,medio,"Un espectáculo circense nunca incluye elementos teatrales.",falso,"verdadero"
entretenimiento,medio,"Algunos circos contemporáneos mezclan danza con acrobacia.",verdadero,"falso"
entretenimiento,dificil,"El Cirque du Soleil fue fundado en Canadá en 1984.",verdadero,"falso"
entretenimiento,dificil,"Algunos circos contemporáneos utilizan tecnología de realidad aumentada.",verdadero,"falso"
entretenimiento,dificil,"Akira Kurosawa dirigió 'Los siete samuráis', que inspiró 'Los siete magníficos'.",verdadero,falso
entretenimiento,dificil,"El videojuego 'Pong' fue lanzado por Atari en 1972.",verdadero,falso
entretenimiento,dificil,"Marlon Brando rechazó su Oscar por 'El padrino' por protesta.",verdadero,falso
entretenimiento,dificil,"El primer largometraje animado fue 'Blancanieves y los siete enanitos' (1937).",verdadero,falso
entretenimiento,dificil,"Stan Lee creó todos los personajes de Marvel Comics.",falso,verdadero
entretenimiento,dificil,"Los circos actuales están prohibidos en todo el mundo.",falso,"verdadero"
historia,facil,"Julio César fue asesinado en los idus de marzo.",verdadero,falso
historia,facil,"La Revolución Francesa comenzó en 1789.",verdadero,falso
historia,facil,"Cristóbal Colón llegó a América en 1492.",verdadero,falso
historia,facil,"La Muralla China fue construida completamente durante una dinastía.",falso,verdadero
historia,facil,"La Primera Guerra Mundial comenzó en 1914.",verdadero,falso
historia,facil,"Los circos existen desde hace siglos.",verdadero,"falso"
historia,facil,"El circo romano incluía batallas navales falsas.",verdadero,"falso"
historia,facil,"El circo moderno se originó en el siglo XX.",falso,"verdadero"
historia,medio,"P. T. Barnum fue un empresario destacado del circo en EE.UU.",verdadero,"falso"
historia,medio,"El circo ha evolucionado desde espectáculos callejeros.",verdadero,"falso"
historia,medio,"Los circos medievales ya usaban carpas como escenario principal.",falso,"verdadero"
historia,medio,"La Batalla de Waterloo puso fin al imperio de Napoleón Bonaparte.",verdadero,falso
historia,medio,"Machu Picchu fue construido por los incas.",verdadero,falso
historia,medio,"La Revolución Industrial comenzó en Gran Bretaña.",verdadero,falso
historia,medio,"Cleopatra VII fue la última gobernante del Egipto ptolemaico.",verdadero,falso
historia,medio,"La Peste Negra mató a aproximadamente un tercio de la población europea.",verdadero,falso
historia,dificil,"El primer circo moderno fue fundado por Philip Astley en el siglo XVIII.",verdadero,"falso"
historia,dificil,"En el siglo XIX, algunos circos viajaban en tren para montar espectáculos en distintas ciudades.",verdadero,"falso"
historia,dificil,"Cleopatra fue la primera en organizar espectáculos circenses en Egipto.",falso,"verdadero"
historia,dificil,"El Edicto de Milán (313 d.C.) legalizó el cristianismo en el Imperio Romano.",verdadero,falso
historia,dificil,"La Guerra de los Cien Años duró 116 años.",verdadero,falso
historia,dificil," Hammurabi es conocido por uno de los primeros códigos legales escritos.",verdadero,falso
historia,dificil,"La Dinastía Tang en China fue contemporánea del Imperio bizantino.",verdadero,falso
historia,dificil,"Simón Bolívar liberó a seis países del dominio español.",verdadero,falso
